Local_Index,Global_Index,Ru,Rh,Pd,Ir,Pt
74,149,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
75,150,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
76,151,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
77,152,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
78,153,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
125,210,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
126,211,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
127,212,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
128,213,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
129,214,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
130,215,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
131,216,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
173,268,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
174,269,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
175,270,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
176,271,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
177,272,0.19140625,0.19921875,0.203125,0.1953125,0.2109375
178,273,0.19140625,0.201171875,0.205078125,0.1953125,0.20703125
179,274,0.19140625,0.201171875,0.205078125,0.1953125,0.20703125
180,275,0.19140625,0.201171875,0.203125,0.1953125,0.208984375
181,276,0.193359375,0.201171875,0.203125,0.1953125,0.20703125
182,277,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
185,280,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
186,281,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
187,282,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
188,283,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
223,328,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
224,329,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
225,330,0.193359375,0.19921875,0.203125,0.197265625,0.20703125
226,331,0.19140625,0.19921875,0.205078125,0.197265625,0.20703125
227,332,0.1875,0.19921875,0.205078125,0.197265625,0.2109375
228,333,0.185546875,0.201171875,0.20703125,0.1953125,0.2109375
229,334,0.18359375,0.201171875,0.20703125,0.1953125,0.212890625
230,335,0.18359375,0.201171875,0.20703125,0.193359375,0.21484375
231,336,0.185546875,0.201171875,0.20703125,0.193359375,0.212890625
232,337,0.189453125,0.201171875,0.205078125,0.193359375,0.2109375
233,338,0.19140625,0.201171875,0.205078125,0.193359375,0.208984375
234,339,0.193359375,0.201171875,0.203125,0.193359375,0.208984375
235,340,0.1953125,0.201171875,0.203125,0.1953125,0.205078125
236,341,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
237,342,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
238,343,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
239,344,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
240,345,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
241,346,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
270,385,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
272,387,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
273,388,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
274,389,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
275,390,0.193359375,0.19921875,0.203125,0.197265625,0.20703125
276,391,0.19140625,0.19921875,0.205078125,0.197265625,0.20703125
277,392,0.185546875,0.197265625,0.20703125,0.197265625,0.212890625
278,393,0.1796875,0.19921875,0.208984375,0.197265625,0.21484375
279,394,0.17578125,0.19921875,0.212890625,0.193359375,0.21875
280,395,0.171875,0.203125,0.21484375,0.19140625,0.21875
281,396,0.171875,0.205078125,0.216796875,0.185546875,0.220703125
282,397,0.17578125,0.205078125,0.21484375,0.18359375,0.220703125
283,398,0.181640625,0.205078125,0.2109375,0.1875,0.21484375
284,399,0.1875,0.203125,0.20703125,0.189453125,0.212890625
285,400,0.19140625,0.201171875,0.205078125,0.193359375,0.208984375
286,401,0.193359375,0.201171875,0.203125,0.193359375,0.208984375
287,402,0.193359375,0.201171875,0.203125,0.1953125,0.20703125
288,403,0.19140625,0.201171875,0.203125,0.1953125,0.208984375
289,404,0.19140625,0.201171875,0.203125,0.197265625,0.20703125
290,405,0.189453125,0.201171875,0.203125,0.197265625,0.208984375
291,406,0.189453125,0.201171875,0.203125,0.197265625,0.208984375
292,407,0.19140625,0.201171875,0.203125,0.197265625,0.20703125
293,408,0.19140625,0.201171875,0.203125,0.1953125,0.208984375
319,444,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
320,445,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
321,446,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
322,447,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
323,448,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
324,449,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
325,450,0.193359375,0.19921875,0.203125,0.197265625,0.20703125
326,451,0.19140625,0.197265625,0.205078125,0.197265625,0.208984375
327,452,0.185546875,0.1953125,0.20703125,0.197265625,0.21484375
328,453,0.177734375,0.1953125,0.2109375,0.197265625,0.21875
329,454,0.16796875,0.193359375,0.21875,0.197265625,0.22265625
330,455,0.150390625,0.197265625,0.228515625,0.189453125,0.234375
331,456,0.138671875,0.205078125,0.23828125,0.17578125,0.2421875
332,457,0.140625,0.212890625,0.240234375,0.1640625,0.2421875
333,458,0.154296875,0.21484375,0.234375,0.158203125,0.23828125
334,459,0.171875,0.2109375,0.22265625,0.166015625,0.228515625
335,460,0.1796875,0.20703125,0.21484375,0.177734375,0.220703125
336,461,0.185546875,0.203125,0.208984375,0.1875,0.21484375
337,462,0.189453125,0.201171875,0.205078125,0.193359375,0.2109375
338,463,0.189453125,0.201171875,0.205078125,0.1953125,0.208984375
339,464,0.1875,0.201171875,0.205078125,0.197265625,0.208984375
340,465,0.18359375,0.201171875,0.205078125,0.197265625,0.212890625
341,466,0.18359375,0.203125,0.20703125,0.197265625,0.208984375
342,467,0.18359375,0.203125,0.20703125,0.197265625,0.208984375
343,468,0.185546875,0.203125,0.205078125,0.197265625,0.208984375
344,469,0.1875,0.201171875,0.205078125,0.1953125,0.2109375
370,505,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
371,506,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
372,507,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
373,508,0.1953125,0.19921875,0.203125,0.193359375,0.208984375
